"TOA5","TEMPEST_REDOX_fresh","CR1000","86614","CR1000.Std.31.03","CPU:COMPASS_Redox_Tempest_2024v1.CR1","14439","Redox5"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRa(13)","RedoxRa(14)","RedoxRa(15)","RedoxRa(16)","RedoxRa(17)","RedoxRa(18)","RedoxRa(19)","RedoxRa(20)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)","RedoxRb(13)","RedoxRb(14)","RedoxRb(15)","RedoxRb(16)","RedoxRb(17)","RedoxRb(18)","RedoxRb(19)","RedoxRb(20)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-05-07 05:15:00",0,"NAN",11.93,1758.639,550.6368,549.4472,-371.6799,1558.778,484.0166,554.2058,535.3414,626.7743,148.1961,589.2155,547.7477,573.75,1111.301,586.3263,584.6268,1382.88,565.0826,553.8659,613.0084,1787.36,559.8141,559.4742,-361.313,1563.197,492.5141,563.8929,545.1985,634.4221,157.3734,593.974,557.095,584.4568,1118.779,599.4124,594.3139,1381.351,575.6194,562.5333,622.6955
"2024-05-07 05:20:00",1,"NAN",11.93,1765.109,553.1898,546.5618,-365.9041,1560.998,487.4189,553.0199,535.345,626.0988,148.1971,584.4608,547.0716,572.9041,1109.099,586.8401,588.3697,1382.21,565.9362,553.6997,613.8623,1787.033,559.9879,555.9091,-362.1652,1566.267,495.7465,562.877,550.8105,634.5963,159.9237,594.3179,557.2687,582.4214,1119.296,597.3771,597.8869,1387.478,579.8721,564.7465,626.0988
"2024-05-07 05:25:00",2,"NAN",11.93,1766.817,553.1924,546.9042,-365.3959,1563.045,486.2314,553.5323,534.8376,624.742,148.0278,584.1235,550.813,573.4166,1109.104,587.1827,589.392,1382.386,566.7885,555.0618,614.7148,1786.531,560.1604,558.121,-362.3368,1566.274,493.7093,562.7097,545.7145,634.9391,157.885,596.7,557.4412,584.6334,1120.491,596.8699,597.2098,1387.145,576.6457,566.7885,624.572
"2024-05-07 05:30:00",3,"NAN",11.93,1766.484,550.4755,546.2267,-371.0059,1561.012,485.8936,558.6332,537.7291,624.5747,151.7674,584.6359,550.1356,573.759,1113.697,588.7148,588.2049,1379.333,567.4708,558.2933,616.0771,1785.009,563.3919,558.2933,-362.1684,1565.431,497.1105,562.5421,550.8154,637.3212,158.0556,598.9119,558.9731,584.4659,1121.685,597.3823,600.1016,1389.87,580.5571,567.9806,626.2742
"2024-05-07 05:35:00",4,"NAN",11.93,1765.624,551.3218,546.2233,-371.1735,1557.773,487.0803,556.9302,535.6863,625.4206,148.8773,583.9525,548.4327,573.7554,1111.311,589.2209,588.5411,1385.443,567.8071,556.5903,617.093,1790.266,562.5386,556.2504,-356.5577,1564.231,497.6172,562.5386,545.5435,634.9379,157.7148,593.6397,561.5189,583.2726,1116.75,597.8885,600.0978,1389.691,577.1544,567.6371,626.7802
"2024-05-07 05:40:00",5,"NAN",11.93,1766.471,553.7005,546.2227,-371.513,1559.131,487.4196,553.7005,538.4049,625.2499,153.6358,583.7819,551.1512,573.5848,1113.519,587.1809,588.3705,1387.141,570.3557,557.4395,621.511,1789.075,563.0479,556.9296,-359.1066,1564.399,495.5773,563.0479,545.5428,634.7672,157.2047,593.809,559.9887,584.4617,1119.638,598.3976,598.2277,1390.879,577.6636,568.8262,627.2893
"2024-05-07 05:45:00",6,"NAN",11.93,1767.503,551.6649,548.7758,-371.3456,1557.102,487.9329,554.0443,536.1993,625.4242,148.7082,584.6357,548.0959,573.7587,1112.337,589.3943,588.8845,1386.98,567.4705,558.2931,617.6064,1789.767,560.8423,555.9138,-361.9983,1565.6,496.6004,568.8301,545.7166,637.1509,157.5457,593.4732,558.2931,583.7859,1120.495,600.7811,598.5718,1386.81,578.0075,570.0198,627.8035
"2024-05-07 05:50:00",7,"NAN",11.93,1764.052,551.6486,551.9885,-370.8248,1559.605,488.4283,554.0279,538.5627,625.0659,148.7038,585.808,548.5896,576.8008,1113.324,589.3769,593.6256,1386.259,568.6434,558.9564,618.098,1788.864,563.5449,555.5574,-362.1575,1563.174,496.5857,562.5253,546.2103,634.4129,160.7701,593.4556,560.4859,584.2785,1120.122,597.8743,599.0639,1390.168,578.8402,568.6434,631.5238
