plot,species,sensor_id,Date,F_avg
Control,Beech,C13,2023-01-01,0.008426771051837381
Control,Beech,C13,2023-01-02,0.01864437676683522
Control,Beech,C13,2023-01-03,0.009914696658205567
Control,Beech,C13,2023-01-04,0.013316678985791804
Control,Beech,C13,2023-01-05,0.005065205912885687
Control,Beech,C13,2023-01-06,0.0032722965919099517
Control,Beech,C13,2023-01-07,0.0041197448839696595
Control,Beech,C13,2023-01-08,0.005008386549330123
Control,Beech,C13,2023-01-09,0.010223298556177419
Control,Beech,C13,2023-01-10,0.0013432540419277739
Control,Beech,C13,2023-01-11,0.025085676848848645
Control,Beech,C13,2023-01-12,0.02001500096454166
Control,Beech,C13,2023-01-13,0.17506449251551928
Control,Beech,C13,2023-01-14,0.00427743630885432
Control,Beech,C13,2023-01-15,0.028927172699289974
Control,Beech,C13,2023-01-16,0.021225916164805493
Control,Beech,C13,2023-01-17,0.0021885527844258497
Control,Beech,C13,2023-01-18,0.005353629013152441
Control,Beech,C13,2023-01-19,0.0037001373787447145
Control,Beech,C13,2023-01-20,0.009869461741695437
Control,Beech,C13,2023-01-21,0.008015269236393851
Control,Beech,C13,2023-01-22,0.006653409147484739
Control,Beech,C13,2023-01-23,0.015434080511044189
Control,Beech,C13,2023-01-24,0.012387563797914806
Control,Beech,C13,2023-01-25,0.01521579194259753
Control,Beech,C13,2023-01-26,0.009794230293647021
Control,Beech,C13,2023-01-27,0.010504530180803214
Control,Beech,C13,2023-01-28,0.018296803499367513
Control,Beech,C13,2023-01-29,0.0021284806536787876
Control,Beech,C13,2023-01-30,0.016185028069812153
Control,Beech,C13,2023-01-31,0.01875658850063556
Control,Beech,C13,2023-02-01,0.03427899721056842
Control,Beech,C13,2023-02-02,0.051589049301525775
Control,Beech,C13,2023-02-03,0.033720962782468326
Control,Beech,C13,2023-02-04,0.01780836704153366
Control,Beech,C13,2023-02-05,0.07658226360741606
Control,Beech,C13,2023-02-06,0.03872403193750895
Control,Beech,C13,2023-02-07,0.004362553386969751
Control,Beech,C13,2023-02-08,0.01652844924678093
Control,Beech,C13,2023-02-09,0.010511841394888116
Control,Beech,C13,2023-02-10,0.014957289536557915
Control,Beech,C13,2023-02-11,0.027490999030946036
Control,Beech,C13,2023-02-12,0.018214548574057358
Control,Beech,C13,2023-02-13,0.012682223026631557
Control,Beech,C13,2023-02-14,0.009541189635044285
Control,Beech,C13,2023-02-15,0.024576092344496345
Control,Beech,C13,2023-02-16,0.0011217780803412214
Control,Beech,C13,2023-02-17,0.013931540898585228
Control,Beech,C13,2023-02-18,0.034270702617010415
Control,Beech,C13,2023-02-19,0.007451184621871107
Control,Beech,C13,2023-02-20,0.01612675606358
Control,Beech,C13,2023-02-21,0.004181054068973659
Control,Beech,C13,2023-02-22,0.011291461854854835
Control,Beech,C13,2023-02-23,0.01158066621602805
Control,Beech,C13,2023-02-24,0.027229832791238216
