"TOA5","RedoxMU1_81","CR1000","86633","CR1000.Std.31.03","CPU:COMPASS_MU_programsv2.CR1","36780","Table1"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRa(13)","RedoxRa(14)","RedoxRa(15)","RedoxRa(16)","RedoxRa(17)","RedoxRa(18)","RedoxRa(19)","RedoxRa(20)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)","RedoxRb(13)","RedoxRb(14)","RedoxRb(15)","RedoxRb(16)","RedoxRb(17)","RedoxRb(18)","RedoxRb(19)","RedoxRb(20)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-05 16:35:00",0,"NAN",12.71,435.7704,515.8865,539.2893,575.5038,401.264,487.8715,533.1396,550.222,419.2005,474.8889,540.3143,565.0836,310.8985,467.7143,477.4513,581.3119,984.6258,497.6084,539.4601,572.4291,1862.145,2064.913,2076.529,2078.066,2002.22,2002.22,2074.308,2074.65,1999.146,2042.706,2063.034,2076.187,2012.128,2045.951,2036.214,1805.944,1953.365,1949.607,1956.781,1965.835
"2023-06-05 16:40:00",1,"NAN",12.7,438.6744,510.9327,534.848,571.4042,395.6269,481.8927,527.8442,545.439,413.2217,470.1059,535.1896,560.8131,305.9446,463.6146,473.3515,577.0413,865.2203,493.1671,535.0188,568.1585,1846.259,2037.581,2051.076,2053.98,1980.697,1992.142,2051.418,2055.176,1985.651,2032.969,2039.119,2055.518,1990.263,2030.748,2031.432,2055.005,2005.296,2035.36,2048.685,2049.197
"2023-06-05 16:45:00",2,"NAN",12.69,439.1869,513.4951,537.2395,574.1373,400.0683,486.1633,529.8941,548.0013,418.5172,473.6932,538.7769,563.7171,310.5569,467.3727,477.1096,579.9453,886.5732,496.9252,537.5811,571.0625,1846.601,2044.927,2057.397,2060.301,1986.505,1987.701,2056.542,2060.813,1979.843,2033.311,2042.022,2059.788,1994.704,2034.165,2037.581,2060.471,2000,2040.143,2053.297,2051.76
"2023-06-05 16:50:00",3,"NAN",12.68,439.3577,515.5449,538.4352,575.6747,402.1182,488.5548,530.5774,549.1971,421.0796,476.0847,540.4851,565.0837,312.7776,469.081,479.3304,581.4827,887.769,498.975,538.9477,572.4291,1859.412,2060.984,2073.112,2076.7,2004.612,2004.612,2077.041,2080.629,1999.146,2054.663,2062.18,2080.116,2017.424,2056.03,2061.325,2083.362,2015.032,2065.596,2079.774,2077.554
"2023-06-05 16:55:00",4,"NAN",12.67,438.6744,516.5699,539.1185,576.5289,403.1431,489.5798,530.919,549.7096,422.2754,477.2805,541.3392,566.1086,312.0943,469.9351,480.697,582.5077,886.2316,500.3416,539.8018,573.1124,1882.644,2081.995,2093.611,2095.319,2021.865,2020.157,2092.757,2095.832,2014.007,2070.038,2076.529,2094.294,2035.019,2072.087,2075.162,2096.174,2022.036,2078.579,2091.903,2088.999
"2023-06-05 17:00:00",5,"NAN",12.67,438.8452,517.2532,539.2894,577.0413,403.6556,490.0922,530.5774,550.222,423.1295,478.3054,541.8517,566.7919,314.315,470.7892,482.0635,583.191,885.5483,501.5374,540.1435,573.7957,1885.207,2083.703,2095.149,2097.198,2023.403,2021.011,2093.953,2097.711,2015.716,2071.575,2078.237,2096.686,2035.873,2072.6,2076.016,2096.515,2022.378,2079.091,2092.586,2089.853
"2023-06-05 17:05:00",6,"NAN",12.66,438.8452,517.5948,539.1185,577.2122,404.1681,490.4339,530.0649,550.0512,423.6419,478.6471,542.1934,566.9628,315.1691,471.4725,482.576,583.5326,883.8401,502.2207,540.3143,573.9665,1887.257,2084.728,2096.515,2098.565,2024.94,2022.719,2095.49,2098.907,2017.082,2072.942,2079.945,2097.882,2037.41,2074.308,2077.554,2098.223,2023.744,2080.629,2093.44,2090.707
"2023-06-05 17:10:00",7,"NAN",12.66,438.8452,517.5948,538.6061,577.2122,404.5097,490.6047,529.2108,549.8804,424.1544,479.3304,542.0225,567.3044,315.5107,471.6433,483.4301,583.7034,880.5944,502.904,539.9727,573.9665,1890.161,2088.145,2099.419,2101.469,2028.015,2025.453,2097.882,2101.298,2019.815,2075.504,2081.995,2100.103,2041.168,2077.383,2080.629,2101.127,2025.623,2083.703,2096.003,2093.27
