Plot,Section,Tag,Grid,DBH_2019,Date_2019,Species_code,Status_2019,DBH_2020,Date_2020,Status_2020,Date_2021,DBH_2021,Status_2021,Date_2022,DBH_2022,Status_2022,Date_2023,DBH_2023,Status_2023,Date_2024,DBH_2024,Status_2024,In_Plot,Notes,JS_codes
Control,East,1301,I6,10.7,3/9/19,COFL2,LI,10.7,3/10/20,LI,3/9/21,10.6,LI,3/4/22,10.6,LI,3/9/23,10.5,LI,2/27/24,10.6,LI,FALSE,,
Control,East,1302,I8,11.7,3/9/19,ACRU,LI,11.7,3/10/20,LI,3/9/21,11.7,LI,3/4/22,11.7,LI,3/9/23,11.7,LI,2/27/24,11.7,LI,FALSE,,
Control,East,1303,I8,18.7,3/9/19,ACRU,LI,18.9,3/10/20,LI,3/9/21,19.1,LI,3/4/22,19.1,LI,3/9/23,19.3,LI,2/27/24,19.3,LI,FALSE,,
Control,East,1304,H8,51.8,3/9/19,LIST2,LI,52.2,3/10/20,LI,3/9/21,52.1,LI,3/4/22,52.9,LI,3/9/23,52.5,LI,2/27/24,53.3,LI,TRUE,,
Control,East,1305,H8,35.2,3/9/19,LIST2,LI,35,3/10/20,LI,3/9/21,35.5,LI,3/4/22,35.5,LI,3/9/23,34.9,LI,2/27/24,34.9,LI,TRUE,,
Control,East,1306,H7,21.9,3/9/19,LIST2,LI,22.4,3/10/20,LI,3/9/21,21.9,LI,3/4/22,21.9,LI,3/9/23,21.9,LI,2/27/24,22,LI,TRUE,,
Control,East,1307,H7,22.6,3/9/19,,DS,,3/10/20,DS,3/9/21,,DS,3/4/22,,DS,3/9/23,,DS,2/27/24,,DS,TRUE,,
Control,East,1308,H7,5.9,3/9/19,FAGR,LI,6,3/10/20,LI,3/9/21,6.1,LI,3/4/22,6.3,LI,3/9/23,6.3,LI,2/27/24,6.4,LI,TRUE,,
Control,East,1309,I7,11.6,3/9/19,FAGR,LI,12,3/10/20,LI,3/9/21,12.2,LI,3/4/22,12.6,LI,3/9/23,12.9,LI,2/27/24,13.3,LI,TRUE,,
Control,East,1310,I7,29.1,3/9/19,LIST2,LI,28.9,3/10/20,LI,3/9/21,29.2,LI,3/4/22,29.1,LI,3/9/23,29.3,LI,2/27/24,29.2,LI,TRUE,,
Control,East,1311,I7,37.2,3/9/19,LIST2,LI,37.3,3/10/20,LI,3/9/21,37.3,LI,3/4/22,37.2,LI,3/9/23,37.3,LI,2/27/24,37.5,LI,TRUE,,
Control,East,1312,I7,26.3,3/9/19,CAGL8,LI,26.5,3/10/20,LI,3/9/21,26.9,LI,3/4/22,27,LI,3/9/23,27.2,LI,2/27/24,27.5,LI,TRUE,,
Control,East,1313,J6,15,3/9/19,ACRU,LI,15,3/10/20,LI,3/9/21,15.1,LI,3/4/22,15,LI,3/9/23,15,LI,2/27/24,15,LI,TRUE,,
Control,East,1314,I6,9.5,3/9/19,LITU,LI,9.6,3/10/20,LI,3/9/21,9.7,LI,3/4/22,9.8,LI,3/9/23,9.9,LI,2/27/24,10.1,LI,TRUE,,
Control,East,1315,I6,49.2,3/9/19,,DS,,3/10/20,DS,3/9/21,,DC,3/4/22,,DC,3/9/23,,DN,2/27/24,,DN,TRUE,,
Control,East,1316,H6,51.6,3/9/19,LIST2,LI,51.8,3/10/20,LI,3/9/21,52,LI,3/4/22,51.8,LI,3/9/23,51.9,LI,2/27/24,52.1,LI,TRUE,,
Control,East,1317,H6,21,3/9/19,CAGL8,LI,21.2,3/10/20,LI,3/9/21,21.4,LI,3/4/22,21.4,LI,3/9/23,21.5,LI,2/27/24,21.7,LI,TRUE,,
Control,East,1318,H6,5,3/9/19,FAGR,LI,5.6,3/10/20,LI,3/9/21,5.8,LI,3/4/22,6,LI,3/9/23,6,LI,2/27/24,6.2,LI,TRUE,,
Control,East,1319,G6,19.9,3/9/19,ACRU,LI,19.9,3/10/20,LI,3/9/21,19.9,LI,3/4/22,20.4,LI,3/9/23,19.9,LI,2/27/24,20,LI,TRUE,,
Control,East,1320,G7,10,3/9/19,ACRU,LI,10.1,3/10/20,LI,3/9/21,10.1,LI,3/4/22,10.3,LI,3/9/23,10.1,LI,2/27/24,10.2,LI,TRUE,,
Control,East,1321,I5,14.5,3/9/19,CAGL8,LI,14.8,3/10/20,LI,3/9/21,15.1,LI,3/4/22,15.3,LI,3/9/23,15.3,LI,2/27/24,15.7,LI,TRUE,,
Control,East,1322,J5,19.3,3/9/19,ACRU,DS,,3/10/20,DS,3/9/21,,DS,3/4/22,,DS,3/9/23,,DC,2/27/24,,DC,TRUE,,
Control,East,1323,J4,28.7,3/9/19,QUAL,LI,29.2,3/10/20,LI,3/9/21,29.7,LI,3/4/22,29.7,LI,3/9/23,29.9,LI,2/27/24,30.1,LI,TRUE,,SP
Control,East,1324,I4,13.7,3/9/19,,LI,13.8,3/10/20,LI,3/9/21,13.9,LI,3/4/22,14.3,LI,3/9/23,14,LI,2/27/24,14,LI,TRUE,,
Control,East,1325,H4,47.7,3/9/19,LITU,LI,48.2,3/10/20,LI,3/9/21,48.6,LI,3/4/22,48.8,LI,3/9/23,49.3,LI,2/27/24,49.7,LI,TRUE,,
