datetime_est,plot,depth_cm,eh_mv
2023-06-05 17:40,Control,5,609.3551556
2023-06-05 17:40,Control,15,706.96694
2023-06-05 17:40,Control,30,738.4019
2023-06-05 17:40,Control,50,788.880225
2023-06-05 17:40,Saltwater,5,665.1051133
2023-06-05 17:40,Saltwater,15,710.50392
2023-06-05 17:40,Saltwater,30,737.02934
2023-06-05 17:40,Saltwater,50,757.12188
2023-06-05 17:40,Freshwater,5,790.8157317
2023-06-05 17:40,Freshwater,15,644.6066
2023-06-05 17:40,Freshwater,30,761.5946
2023-06-05 17:40,Freshwater,50,801.48602
2023-06-05 17:45,Control,5,609.638175
2023-06-05 17:45,Control,15,707.1719
2023-06-05 17:45,Control,30,738.12856
2023-06-05 17:45,Control,50,788.92295
2023-06-05 17:45,Saltwater,5,665.38194
2023-06-05 17:45,Saltwater,15,710.71102
2023-06-05 17:45,Saltwater,30,737.20246
2023-06-05 17:45,Saltwater,50,757.12448
2023-06-05 17:45,Freshwater,5,790.38447
2023-06-05 17:45,Freshwater,15,643.883225
2023-06-05 17:45,Freshwater,30,761.83086
2023-06-05 17:45,Freshwater,50,801.31434
2023-06-05 17:50,Control,5,609.9718472
2023-06-05 17:50,Control,15,707.3188067
2023-06-05 17:50,Control,30,737.99194
2023-06-05 17:50,Control,50,788.880225
2023-06-05 17:50,Saltwater,5,665.66748
2023-06-05 17:50,Saltwater,15,711.0854333
2023-06-05 17:50,Saltwater,30,737.4795
2023-06-05 17:50,Saltwater,50,757.26528
2023-06-05 17:50,Freshwater,5,790.0885333
2023-06-05 17:50,Freshwater,15,643.2034883
2023-06-05 17:50,Freshwater,30,761.5988
2023-06-05 17:50,Freshwater,50,801.55848
2023-06-05 17:55,Control,5,610.0919944
2023-06-05 17:55,Control,15,707.5682133
2023-06-05 17:55,Control,30,737.6161
2023-06-05 17:55,Control,50,788.965625
2023-06-05 17:55,Saltwater,5,665.7236533
2023-06-05 17:55,Saltwater,15,711.4919067
2023-06-05 17:55,Saltwater,30,737.61798
2023-06-05 17:55,Saltwater,50,757.26736
2023-06-05 17:55,Freshwater,5,789.6633717
2023-06-05 17:55,Freshwater,15,642.9046517
2023-06-05 17:55,Freshwater,30,761.3991
2023-06-05 17:55,Freshwater,50,801.12122
2023-06-05 18:00,Control,5,610.5537917
2023-06-05 18:00,Control,15,707.54424
2023-06-05 18:00,Control,30,737.3086
2023-06-05 18:00,Control,50,788.965625
